step,loss,loss_parts,embed_acc,perm_valid,edge_f1,erank_last,lr,tok_per_s
42800,0.24658,"{""ntp"": 0.11185474693775177, ""mtp"": 0.13472682237625122}",0.87500,0.92188,0.98428,4.71,1.00e-03,172710
43200,0.25180,"{""ntp"": 0.11202536523342133, ""mtp"": 0.13977017998695374}",0.82812,0.88672,0.97788,4.68,1.00e-03,172908
43600,0.24938,"{""ntp"": 0.112356036901474, ""mtp"": 0.13702508807182312}",0.83984,0.91016,0.98133,4.39,1.00e-03,173059
44000,0.25051,"{""ntp"": 0.1122862696647644, ""mtp"": 0.13822612166404724}",0.89453,0.92969,0.98570,4.33,1.00e-03,173037
44400,0.24955,"{""ntp"": 0.11176719516515732, ""mtp"": 0.13778090476989746}",0.87500,0.93359,0.98275,4.22,1.00e-03,173038
44800,0.25086,"{""ntp"": 0.11301233619451523, ""mtp"": 0.13784806430339813}",0.85938,0.90625,0.98125,4.38,1.00e-03,173041
45200,0.25336,"{""ntp"": 0.11491084843873978, ""mtp"": 0.1384536623954773}",0.85156,0.92969,0.98145,4.35,1.00e-03,172975
45600,0.24937,"{""ntp"": 0.11160966753959656, ""mtp"": 0.13776342570781708}",0.89062,0.92188,0.98747,3.87,1.00e-03,172913
46000,0.25061,"{""ntp"": 0.1124759390950203, ""mtp"": 0.13813792169094086}",0.85938,0.94922,0.98372,4.19,1.00e-03,172852
46400,0.24861,"{""ntp"": 0.11128240823745728, ""mtp"": 0.13732771575450897}",0.88281,0.92578,0.98461,3.81,1.00e-03,172793
46800,0.25082,"{""ntp"": 0.1131061464548111, ""mtp"": 0.13771586120128632}",0.87891,0.94531,0.98424,3.96,1.00e-03,172696
47200,0.24192,"{""ntp"": 0.10845949500799179, ""mtp"": 0.13346421718597412}",0.87891,0.94531,0.98498,4.29,1.00e-03,172584
47600,0.24195,"{""ntp"": 0.10883621126413345, ""mtp"": 0.1331101655960083}",0.89453,0.94922,0.98577,4.18,1.00e-03,172525
48000,0.24823,"{""ntp"": 0.1105673760175705, ""mtp"": 0.13766475021839142}",0.86328,0.93359,0.98489,4.13,1.00e-03,172521
